Ecu Id:
#time,engine-rpm,coolant_temp,ambient_temp,intake_air_temp,fuel_temp,map_kpa,battery_voltage,throttle_pot_voltage,idle_switch,uk1,park_neutral_switch,fault_codes,idle_set_point,idle_hot,uk2,iac_position,idle_error,ignition_advance_offset,ignition_advance,coil_time,crancs,uk4,uk5,ignition_switch,throttle_angle,uk6,air_fuel_ratio,fault_code0,lambda_voltage_mv,lambda_sensor_frequency,lambda_sensor_dutycycle,lambda_sensor_status,closed_loop,long_term_fuel_trim,short_term_fuel_trim,carbon_canister_dutycycle,fault_code1,idle_base_pos,uk7,uk8,ignition_advance2,uk9,idle_error2,uk10,fault_code4,uk11,uk12,uk13,uk14,uk15,uk16,uk17,uk18,uk19
18:50:46,1686,45,57,18,57,34,13.2,0.66,0,0,1,0,32,55,135,130,216,5,18.5,3.032,16,0,0,16,22,255,146,64,175,255,255,1,1,121,98,0,255,120,255,255,53,136,128,252,255,19,64,21,128,26,0,41,192,42
18:50:46,1692,45,57,18,57,35,13.2,0.68,0,0,1,0,32,55,135,131,244,5,18.5,3.032,16,0,0,16,22,255,146,64,179,255,255,1,1,121,97,0,255,120,255,255,53,136,128,238,255,19,64,21,128,26,0,41,192,42
18:50:47,1717,45,57,18,57,35,13.2,0.68,0,0,1,0,32,55,135,131,241,5,18.5,3.034,16,0,0,16,22,255,146,64,177,255,255,1,1,121,96,0,255,120,255,255,53,136,128,242,255,19,64,21,128,26,0,41,192,42
18:50:47,1730,45,57,18,57,35,13.2,0.68,0,0,1,0,32,55,135,131,251,5,19,3.036,16,0,0,16,22,255,146,64,162,255,255,1,1,121,94,0,255,120,255,255,53,136,129,2,255,19,64,21,128,26,0,41,192,42
18:50:48,1727,45,57,18,57,35,13.2,0.68,0,0,1,0,32,55,135,131,252,5,18.5,3.032,16,0,0,16,22,255,146,64,155,255,255,1,1,121,93,0,255,120,255,255,53,136,129,12,255,19,64,21,128,26,0,41,192,42
18:50:48,1738,45,57,18,57,35,13.2,0.68,0,0,1,0,32,55,135,131,275,5,19,3.028,16,0,0,16,22,255,146,64,41,255,255,1,1,121,96,0,255,120,255,255,53,136,129,22,255,19,64,21,128,26,0,41,192,42
18:50:49,1740,45,57,18,57,35,13.2,0.68,0,0,1,0,32,55,135,131,276,5,19,3.034,16,0,0,16,22,255,146,64,27,255,255,1,1,121,97,0,255,120,255,255,53,136,129,24,255,19,64,21,128,26,0,41,192,42
18:50:49,1758,45,57,18,57,34,13.2,0.68,0,0,1,0,32,55,135,131,290,5,19,3.026,16,0,0,16,22,255,146,64,33,255,255,1,1,121,98,0,255,120,255,255,53,136,129,41,255,19,64,21,128,26,0,41,192,42
18:50:49,1767,45,57,18,57,34,13.2,0.68,0,0,1,0,32,55,135,131,299,5,19,3.028,16,0,0,16,22,255,146,64,24,255,255,1,1,121,99,0,255,120,255,255,53,136,129,48,255,19,64,21,128,26,0,41,192,42
18:50:50,1782,45,57,18,57,35,13.2,0.68,0,0,1,0,32,55,135,131,311,5,19,3.028,16,0,0,16,22,255,146,64,20,255,255,1,1,121,100,0,255,120,255,255,53,136,129,68,255,19,64,21,128,26,0,41,192,42
